"date","total","acc_injured","injured","died","drunk","no_license","overspeed","pedestrians","crosswalk","report","temp.0","wind_direction.0","wind_speed.0","weather_code.0","cloudiness.0","visibility.0","humidity.0","pressure.0","temp.3","wind_direction.3","wind_speed.3","weather_code.3","cloudiness.3","visibility.3","humidity.3","pressure.3","temp.6","wind_direction.6","wind_speed.6","weather_code.6","cloudiness.6","visibility.6","humidity.6","pressure.6","temp.9","wind_direction.9","wind_speed.9","weather_code.9","cloudiness.9","visibility.9","humidity.9","pressure.9","temp.12","wind_direction.12","wind_speed.12","weather_code.12","cloudiness.12","visibility.12","humidity.12","pressure.12","temp.15","wind_direction.15","wind_speed.15","weather_code.15","cloudiness.15","visibility.15","humidity.15","pressure.15","temp.18","wind_direction.18","wind_speed.18","weather_code.18","cloudiness.18","visibility.18","humidity.18","pressure.18","temp.21","wind_direction.21","wind_speed.21","weather_code.21","cloudiness.21","visibility.21","humidity.21","pressure.21"
"2015-08-12",77,3,2,1,11,21,91,154,125,"За прошедшие сутки в городе Минске зарегистрировано 77 дорожно-транспортных происшествий, 3 ДТП с пострадавшими, в которых 2 человека получили ранения и 1 человек погиб. За прошедшие сутки в городе Минске задержано 11 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 21 водитель не имел права управления транспортными средствами. За превышение скоростных режимов движения привлечен к ответственности 91 водитель. Привлечено к административной ответственности 154 пешехода - нарушителя. За нарушение правил проезда пешеходных переходов привлечено к ответственности 125 водителей.",22.5,"E","1","CL",0,10,48,1019,19.8,"E","1","CL",0,10,96,1019,24,"E","1","CL",1,10,48,1019,29.7,"S","2","CL",3,10,33,1019,33.7,"S","2","CL",6,10,24,1018,33.3,"SW","2","CL",1,10,18,1016,29.1,"S","1","CL",6,10,30,1016,25.8,"S","1","CL",1,10,47,1017
"2015-08-13",69,3,3,0,10,21,139,203,92,"За прошедшие сутки в городе Минске зарегистрировано 69 дорожно-транспортных происшествий, 3 ДТП с пострадавшими, в которых 3 человека получили ранения. За прошедшие сутки в городе Минске задержано 10 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 21 водитель не имел права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 139 водителей. Привлечено к административной ответственности 203 пешехода - нарушителя. За нарушение правил проезда пешеходных переходов привлечено к ответственности 92 водителя.",23.4,"SE","2","CL",7,10,55,1017,21.1,"S","1","CL",1,10,64,1016,23,"SW","1","CL",6,10,60,1016,28,"NW","1","CL",7,10,46,1015,22.4,"NW","3","RA",9,10,73,1017,23.3,"NW","1","CL",7,10,59,1017,21.6,"","0","CL",1,10,60,1018,19.3,"","0","CL",1,10,67,1019
"2015-08-14",73,0,0,0,11,27,109,149,100,"За прошедшие сутки в городе Минске зарегистрировано 73 дорожно-транспортных происшествий, ДТП с пострадавшими не зарегистрированы. За прошедшие сутки в городе Минске задержано 11 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 27 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 109 водителей. Привлечено к административной ответственности 149 пешеходов - нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 100 водителей.",16.2,"","0","CL",0,10,72,1020,15.1,"NE","1","CL",6,10,78,1020,17.9,"E","1","CL",6,10,64,1022,22.7,"E","2","CL",7,10,37,1021,24.1,"E","1","CL",6,10,32,1020,24.6,"E","1","CL",1,10,28,1018,20.8,"NE","1","CL",1,10,37,1018,17.5,"NE","1","CL",0,10,51,1018
"2015-08-15",79,4,4,0,8,20,133,155,127,"За прошедшие сутки в городе Минске зарегистрировано 79 дорожно-транспортных происшествий,4 ДТП с пострадавшими, в которых 4 человека получили ранения. За прошедшие сутки в городе Минске задержано 8 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 20 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 133 водителя. Привлечено к административной ответственности 155 пешеходов - нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 127 водителей.",15.9,"E","1","CL",0,10,55,1018,12.6,"","0","CL",3,10,69,1018,19.4,"E","1","CL",3,10,47,1017,24.7,"N","1","CL",6,10,33,1015,25.2,"NE","1","CL",7,10,31,1014,26.1,"E","1","CL",3,10,29,1013,22,"NE","1","CL",1,10,36,1013,18.3,"NE","1","CL",0,10,49,1014
"2015-08-16",33,4,4,0,11,16,259,143,45,"За прошедшие сутки в городе Минске зарегистрировано 33 дорожно-транспортных происшествия, 4 ДТП с пострадавшими, в которых 4 человека получили ранения. За прошедшие сутки в городе Минске задержано 11 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 16 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 259 водителей. Привлечено к административной ответственности 143 пешехода - нарушителя. За нарушение правил проезда пешеходных переходов привлечено к ответственности 45 водителей.",15.3,"","0","CL",0,10,59,1015,14.1,"NE","1","CL",0,10,69,1015,19.4,"NE","1","CL",1,10,53,1015,23.3,"E","3","CL",6,10,41,1015,24,"E","4","CL",1,10,28,1015,24.4,"E","2","CL",0,10,20,1015,19.7,"E","4","CL",0,10,32,1017,16.3,"NE","5","CL",0,10,50,1019
"2015-08-17",48,4,4,0,15,20,272,122,68,"За прошедшие сутки в городе Минске зарегистрировано 48 дорожно-транспортных происшествия, 4 ДТП с пострадавшими, в которых 4 человека получили ранения. За прошедшие сутки в городе Минске задержано 15 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 20 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 272 водителя. Привлечено к административной ответственности 122 пешехода - нарушителя. За нарушение правил проезда пешеходных переходов привлечено к ответственности 68 водителей.",13,"E","6","CL",0,10,69,1020,10.7,"NE","2","CL",0,10,79,1021,14.1,"E","1","CL",0,10,67,1021,19.6,"NE","1","CL",6,10,48,1020,21.6,"NE","1","CL",6,10,40,1020,18.1,"NE","1","CL",3,10,53,1020,14.3,"NE","1","CL",0,10,63,1021,12.2,"NE","1","CL",0,10,75,1022
"2015-08-18",70,4,4,0,6,21,83,176,146,"За прошедшие сутки в городе Минске зарегистрировано 70 дорожно-транспортных происшествий, 4 ДТП с пострадавшими, в которых 4 человека получили ранения. За прошедшие сутки в городе Минске задержано 6 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 21 водитель не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 83 водителя. Привлечено к административной ответственности 176 пешеходов - нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 146 водителей.",10.6,"","0","CL",0,10,80,1022,9.3,"","0","CL",0,10,83,1022,14.4,"NW","1","CL",0,10,62,1022,18.6,"NE","2","CL",6,10,41,1021,21,"E","1","CL",7,10,34,1020,19.2,"E","2","CL",6,10,37,1021,16.4,"E","1","CL",1,10,46,1022,12.8,"E","1","CL",0,10,60,1024
"2015-08-19",75,2,2,0,6,28,55,152,204,"За прошедшие сутки в городе Минске зарегистрировано 75 дорожно-транспортных происшествий, 2 ДТП с пострадавшими, в которых 2 человека получили ранения. За прошедшие сутки в городе Минске задержано 6 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 28 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 55 водителей. Привлечено к административной ответственности 152 пешехода - нарушителя. За нарушение правил проезда пешеходных переходов привлечено к ответственности 204 водителя.",10.6,"NE","1","CL",1,10,73,1025,8.9,"","0","CL",1,10,82,1026,13.1,"","0","CL",1,10,67,1026,17.3,"E","1","CL",7,10,47,1025,18.1,"E","2","CL",7,10,43,1025,19,"E","2","CL",7,10,41,1025,16.7,"E","2","CL",1,10,45,1026,13.3,"E","1","CL",0,10,52,1028
"2015-08-20",79,1,1,0,12,18,90,166,304,"За прошедшие сутки в городе Минске зарегистрировано 79 дорожно-транспортных происшествий, 1 ДТП с пострадавшими, в которых 1 человек получил ранения. За прошедшие сутки в городе Минске задержано 12 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 18 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 90 водителей. Привлечено к административной ответственности 166 пешеходов - нарушителей. За нарушение правил проезда пешеходных переходов привлечено к ответственности 304 водителя.",11,"E","1","CL",0,10,61,1029,8.9,"","0","CL",0,10,70,1029,15.4,"","0","CL",7,10,51,1030,19.8,"E","1","CL",6,10,36,1030,22.1,"N","1","CL",1,10,30,1028,22.9,"E","1","CL",0,10,29,1027,19,"","0","CL",0,10,36,1028,14.8,"","0","CL",0,10,49,1029
"2015-08-21",80,3,2,1,14,18,73,171,267,"За прошедшие сутки в городе Минске зарегистрировано 80 дорожно-транспортных происшествий, 3 ДТП с пострадавшими, в которых 2 человек получил ранения, 1 человек погиб. За прошедшие сутки в городе Минске задержано 14 водителей, управлявших транспортными средствами, находясь в состоянии алкогольного опьянения, 18 водителей не имели права управления транспортными средствами. За превышение скоростных режимов движения привлечено к ответственности 73 водителя. Привлечено к административной ответственности 171 пешеход - нарушитель. За нарушение правил проезда пешеходных переходов привлечено к ответственности 267 водителей.",12.9,"","0","CL",0,10,59,1029,11.2,"","0","CL",1,10,67,1030,18.2,"","0","CL",3,10,46,1029,23.4,"E","3","CL",1,10,32,1028,25.8,"SE","2","CL",1,10,26,1027,25.3,"E","3","CL",0,10,25,1026,21,"NE","2","CL",1,10,36,1026,17.7,"E","1","CL",0,10,47,1026
